B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,10.0,,,,,,,,,1.0,,0.2,,,,,,,,,,,,,,,,,,,,0.9,,,,,3,40.63,0.1,-1.1,0.41,-0.07,-0.79,0.89,1
,10.0,,,,,,,,,1.5,,0.3,,,,,,,,,,,,,,,,,,,,0.9,,,,,4,41.0,0.19,-0.58,0.78,0.02,-0.26,0.83,1
,10.0,,,,,,,,,1.6,,0.315,,,,,,,,,,,,,,,,,,,,0.945,,,,,5,40.36,0.21,-0.7,0.15,0.04,-0.38,0.41,0
,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,1,28.09,0.05,0.05,0.42,0.02,0.3,0.52,1
,,,,,,,,,,1.4,,3.6,,,,,,,,,,,,,,,,,,,22.0,,,,,,2,28.04,0.09,0.04,0.38,0.05,0.29,0.48,2
,,,,,,,,,,1.6,,3.73,,,,,,,,,,,,,,,,,,,19.6,,,,,,3,27.64,0.02,-0.31,-0.03,-0.01,-0.05,0.06,0
,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,10.0,,1,28.31,-0.14,-0.75,0.76,-0.08,0.29,0.81,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,2,27.42,-0.2,-0.95,-0.14,-0.14,0.09,0.22,0
,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,20.0,,3,27.47,-0.13,-1.02,-0.08,-0.07,0.03,0.11,0
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,20.0,,4,27.59,-0.06,-1.1,0.04,0.0,-0.05,0.07,0
,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,1,27.39,-0.08,-1.08,0.17,0.16,0.35,0.42,2
,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,12.0,,,,2,26.74,-0.18,-1.22,-0.49,0.05,0.21,0.53,1
,1.0,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,12.0,,,,3,27.11,-0.16,-1.34,-0.12,0.07,0.09,0.17,0
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,12.0,,,,4,26.87,-0.06,-1.3,-0.35,0.18,0.12,0.41,2
,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,5,27.62,0.1,-1.23,0.4,0.34,0.19,0.56,1
,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,12.0,,,,6,26.76,-0.19,-1.4,-0.46,0.05,0.02,0.47,2
,10.0,,,,,,,,,0.35,,0.03,,,,,,,,,,,,,,,,,,,,0.025,,,,,1,78.42,0.15,3.97,-1.26,-0.4,-0.01,1.32,1
,10.0,,,,,,,,,0.307,,0.0423,,,,,,,,,,,,,,,,,,,,0.022,,,,,2,79.54,0.56,3.92,-0.13,0.01,-0.06,0.14,0
,1.0,,,,,,,,2.0,,0.2,,,,,,,,,,,,,,,,,,,,,0.003,,,,,1,66.28,16.62,53.39,1.09,2.39,6.97,7.45,1
